round,order,age,field_cd,race,goal,date,career_c,exphappy,round_p,order_p,age_p,field_cd_p,race_p,goal_p,date_p,career_c_p,exphappy_p,int_corr,match
15,4,29,4,4,1,4,4,4,15,4,20,13,4,5,6,13,10,0.01,0
21,4,24,4,3,5,6,4,5,21,4,25,10,2,3,4,2,7,0.63,1
10,4,22,4,1,1,4,4,6,10,4,34,8,2,2,4,7,9,-0.34,0
22,4,25,4,4,2,7,4,6,22,4,32,5,2,1,4,7,6,0.37,1
21,5,24,4,3,5,6,4,5,21,5,28,8,3,2,5,7,6,0.06,1
19,5,28,4,2,2,6,4,6,16,4,25,2,2,1,6,7,7,-0.2,1
22,5,25,4,4,2,7,4,6,22,5,28,8,2,1,7,7,5,0.16,1
21,6,24,4,3,5,6,4,5,21,6,24,5,6,4,6,7,10,-0.33,0
22,6,25,4,4,2,7,4,6,22,6,23,5,4,2,5,7,8,0.33,1
21,7,24,4,3,5,6,4,5,21,7,34,10,2,2,5,2,5,0.23,1
21,8,24,4,3,5,6,4,5,21,8,26,10,2,2,4,2,4,0.06,1
22,8,25,4,4,2,7,4,6,22,8,22,1,2,1,4,1,7,0.2,1
21,9,24,4,4,2,6,4,6,21,9,27,5,4,1,4,7,5,-0.58,0
22,9,25,4,4,2,7,4,6,22,9,29,2,2,1,5,7,8,0.51,1
10,9,21,4,2,1,3,4,6,10,9,19,16,3,1,3,1,4,0.77,1
21,10,24,4,3,5,6,4,5,21,10,28,13,1,1,2,7,6,0.43,1
10,10,21,4,2,1,3,4,6,10,10,20,3,6,1,3,11,4,0.34,1
22,11,25,4,4,2,7,4,6,22,11,23,5,4,3,7,7,7,-0.2,0
22,12,25,4,4,2,7,4,6,22,12,30,8,2,2,4,7,8,0.02,1
22,17,25,4,4,2,7,4,6,22,17,26,5,4,1,2,5,6,-0.27,1
22,18,25,4,4,2,7,4,6,22,18,30,8,2,2,3,7,6,0.3,1
21,18,24,4,4,2,6,4,6,21,18,28,8,4,1,4,7,7,-0.13,1
21,19,24,4,4,2,6,4,6,21,19,27,10,4,1,3,4,6,-0.3,0
22,19,25,4,4,2,7,4,6,22,19,24,5,6,3,5,5,9,-0.17,1
22,20,25,4,4,2,7,4,6,22,20,25,5,4,2,7,2,7,-0.15,1
10,1,22,5,2,6,5,6,1,10,1,21,13,2,1,1,10,7,-0.42,1
5,1,24,5,4,1,6,2,5,5,1,26,8,4,1,4,8,7,-0.15,0
10,1,18,5,4,2,5,4,5,10,1,19,16,3,1,3,1,4,-0.33,0
10,1,21,5,2,1,3,5,5,10,1,20,3,6,1,3,11,4,0.44,1
22,1,23,5,4,2,7,7,6,22,1,24,5,6,3,5,5,9,0.28,1
22,1,32,5,2,1,4,7,6,22,1,26,11,2,1,3,9,6,0.33,1
15,1,27,5,3,1,4,5,7,15,1,29,3,1,2,6,2,6,-0.2,0
6,1,27,5,6,1,7,4,7,6,1,24,10,4,1,6,2,4,-0.31,0
15,2,26,5,2,1,4,5,4,15,2,20,13,4,5,6,13,10,-0.14,0
10,2,18,5,4,2,5,4,5,10,2,20,3,6,1,3,11,4,-0.37,0
21,2,23,5,1,1,4,7,5,21,2,24,7,2,2,6,2,6,-0.18,0
10,2,28,5,2,1,5,5,5,9,2,34,3,4,2,2,2,9,0.57,1
18,2,26,5,4,2,7,5,5,18,2,27,10,2,2,5,2,8,0.42,1
6,2,24,5,4,2,6,2,6,8,4,29,3,2,1,5,3,5,-0.55,0
6,2,27,5,6,1,7,4,7,6,2,27,15,2,2,7,2,5,0.03,0
6,2,23,5,2,2,5,7,7,7,2,26,10,2,5,4,2,4,0.59,1
22,2,24,5,2,1,7,2,7,22,2,26,8,3,2,7,2,5,0.36,1
9,2,22,5,4,1,7,10,7,10,2,23,8,2,1,3,7,7,0.08,1
10,2,24,5,4,1,7,2,7,10,2,22,4,1,1,5,2,4,0.44,1
21,2,32,5,2,1,3,2,8,21,2,24,4,3,5,6,4,5,-0.07,0
6,2,33,5,4,4,6,2,8,6,2,29,8,4,1,4,7,5,-0.44,1
22,3,22,5,4,2,4,5,5,22,3,23,5,4,3,7,7,7,-0.14,0
10,3,21,5,2,1,3,5,5,10,3,21,13,2,1,1,10,7,-0.31,0
9,3,25,5,4,2,4,2,8,10,4,24,3,2,1,3,2,6,-0.06,0
22,3,24,5,6,3,5,5,9,22,3,24,15,2,2,4,3,6,-0.4,0
15,4,26,5,2,1,4,5,4,15,4,24,6,4,1,5,2,5,-0.07,0
10,4,18,5,4,2,5,4,5,10,4,21,13,2,1,1,10,7,-0.41,0
18,4,26,5,4,2,7,5,5,18,4,21,7,2,1,4,2,6,0.52,1
10,4,28,5,2,1,5,5,5,9,4,36,9,1,2,6,2,8,-0.09,1
6,4,24,5,4,2,6,2,6,8,6,25,3,3,6,4,3,3,-0.13,1
20,4,23,5,4,3,6,7,7,18,2,21,9,4,2,6,2,5,0.05,1
10,4,24,5,4,1,7,2,7,10,4,28,8,4,2,6,7,7,0.5,1
22,4,24,5,4,1,7,5,8,22,4,23,5,4,2,7,7,6,-0.33,0
10,5,27,5,6,1,4,7,2,9,5,36,9,1,2,6,2,8,0.48,1
18,5,26,5,4,2,7,5,5,18,5,25,1,1,2,7,1,5,0.03,0
10,5,18,5,4,2,5,4,5,10,5,21,8,2,1,4,10,7,-0.22,0
21,5,23,5,1,1,4,7,5,21,5,23,10,4,2,5,2,5,-0.06,1
18,5,29,5,2,1,5,2,6,18,5,27,10,2,2,5,2,8,0.45,1
6,5,24,5,4,2,6,2,6,8,7,22,11,2,5,4,11,5,-0.09,1
6,5,27,5,6,1,7,4,7,6,5,55,6,4,6,7,6,10,-0.11,0
10,5,24,5,4,1,7,2,7,10,5,35,3,4,2,4,4,5,0.51,1
6,6,26,5,4,1,3,7,3,7,7,26,10,2,5,4,2,4,-0.46,0
7,6,23,5,4,1,5,2,5,6,5,26,5,4,1,3,7,3,-0.16,0
10,6,28,5,2,1,5,5,5,9,5,25,5,4,2,4,2,8,-0.07,0
18,6,24,5,2,1,6,5,5,18,6,32,10,3,2,4,4,7,0.76,1
10,6,21,5,2,1,3,5,5,10,6,21,3,2,1,5,3,3,-0.13,1
14,6,25,5,2,1,3,10,6,14,6,27,9,4,5,7,2,3,-0.21,0
22,6,24,5,2,1,7,4,6,22,6,22,5,4,2,7,10,8,-0.2,0
22,6,32,5,2,1,4,7,6,22,6,24,11,6,1,4,11,1,-0.3,0
18,6,29,5,2,1,5,2,6,18,6,26,8,2,1,5,7,6,-0.57,1
6,6,24,5,4,2,6,2,6,8,8,28,11,2,4,2,11,5,-0.3,0
18,6,23,5,2,2,5,7,7,19,7,33,14,1,2,7,6,6,-0.16,0
6,6,23,5,2,2,5,7,7,7,7,26,10,2,5,4,2,7,0.61,1
22,6,24,5,4,1,7,5,8,22,6,24,15,2,2,4,3,6,-0.07,0
15,7,26,5,2,1,4,5,4,15,7,32,15,6,2,2,6,6,-0.19,0
7,7,23,5,4,1,5,2,5,6,6,27,6,4,3,4,6,6,0.48,1
10,7,28,5,2,1,5,5,5,9,6,30,3,3,2,6,3,6,0.37,1
21,7,23,5,1,1,4,7,5,21,7,33,3,4,2,6,2,7,-0.41,0
22,7,26,5,4,1,2,5,6,22,7,30,15,3,5,5,6,3,0,0
22,7,23,5,4,2,7,7,6,22,7,30,8,2,1,6,7,7,-0.2,1
14,7,25,5,2,1,3,10,6,14,7,21,9,2,2,2,2,7,0.57,1
15,7,27,5,3,1,4,5,7,15,7,29,8,4,3,2,7,5,-0.02,0
10,8,22,5,2,6,5,6,1,10,8,19,16,3,1,3,1,4,-0.24,1
21,8,23,5,1,1,4,7,5,21,8,25,9,6,1,6,2,6,0.1,1
18,8,24,5,2,1,6,5,5,18,8,26,5,4,2,7,5,5,0.6,1
18,8,29,5,2,1,5,2,6,18,8,25,1,1,2,7,1,5,-0.36,0
22,8,26,5,4,1,2,5,6,22,8,22,5,4,2,7,10,8,0.03,0
22,8,32,5,2,1,4,7,6,22,8,23,5,4,2,7,7,6,0.02,0
22,8,24,5,2,1,7,4,6,22,8,22,1,2,1,6,1,5,-0.14,1
18,8,23,5,2,2,5,7,7,19,9,25,15,4,2,7,6,4,-0.26,0
9,8,22,5,4,1,7,10,7,10,9,27,5,6,1,4,7,2,-0.35,0
10,8,25,5,2,5,7,5,9,10,8,26,1,3,2,7,1,5,0.21,1
10,9,22,5,2,6,5,6,1,10,9,20,3,6,1,3,11,4,-0.24,1
15,9,26,5,2,1,4,5,4,15,9,30,10,6,2,4,2,7,0.54,1
10,9,18,5,4,2,5,4,5,10,9,20,6,3,5,4,6,3,-0.31,0
22,9,22,5,4,2,4,5,5,22,9,26,5,4,1,2,5,6,-0.15,1
18,9,29,5,2,1,5,2,6,18,9,39,11,2,4,4,2,5,-0.16,0
18,9,22,5,2,5,5,7,6,19,10,24,14,2,5,4,6,2,-0.14,0
18,9,23,5,2,2,6,2,7,19,10,25,15,4,2,7,6,4,0.01,0
9,9,25,5,4,2,4,2,8,10,10,23,8,2,1,3,7,7,-0.33,1
10,10,21,5,2,1,3,5,5,10,10,19,16,3,1,3,1,4,0.1,1
21,10,23,5,1,1,4,7,5,21,10,24,4,4,2,6,4,6,-0.32,1
14,10,27,5,2,3,5,2,5,14,10,29,9,4,1,4,2,4,0.53,1
22,10,32,5,2,1,4,7,6,22,10,24,15,2,2,4,3,6,-0.06,0
18,10,29,5,2,1,5,2,6,18,10,30,8,6,1,3,2,5,0.17,1
18,10,22,5,2,5,5,7,6,19,11,25,15,4,2,7,6,4,-0.12,0
15,10,27,5,3,1,4,5,7,15,10,20,13,4,5,6,13,10,0,0
22,10,23,5,4,2,5,7,8,22,10,23,5,4,2,7,7,6,-0.03,1
22,10,24,5,6,3,5,5,9,22,10,22,5,4,2,7,10,8,0.26,1
22,11,22,5,4,2,4,5,5,22,11,24,5,6,3,5,5,9,0.43,1
21,11,23,5,1,1,4,7,5,21,11,27,10,4,2,7,2,6,0.34,1
22,11,23,5,4,2,7,7,6,22,11,23,5,4,1,7,4,5,-0.12,0
22,11,26,5,4,1,2,5,6,22,11,27,9,4,2,4,10,9,0.48,1
18,12,24,5,2,1,6,5,5,18,12,28,6,2,5,5,6,5,0.55,1
22,12,26,5,4,1,2,5,6,22,12,23,15,2,5,7,6,2,0,0
22,12,23,5,4,2,7,7,6,22,12,22,1,2,1,4,1,7,0.02,0
20,12,23,5,4,3,6,7,7,18,10,27,3,2,1,7,3,4,-0.17,0
22,12,24,5,2,1,7,2,7,22,12,23,15,2,2,6,6,2,0.02,0
15,12,27,5,3,1,4,5,7,15,12,24,6,4,1,5,2,5,-0.15,0
22,12,24,5,4,1,7,5,8,22,12,30,15,3,5,5,6,3,-0.48,0
22,13,23,5,4,1,7,4,5,22,13,24,15,2,2,4,3,6,-0.14,0
15,14,26,5,2,1,4,5,4,15,14,29,8,4,3,2,7,5,0.11,1
15,14,25,5,3,2,4,5,4,15,14,30,10,6,2,4,2,7,0.12,1
18,14,26,5,4,2,7,5,5,18,14,32,10,2,1,4,2,6,-0.15,0
21,14,23,5,1,1,4,7,5,21,14,24,9,2,2,5,2,3,-0.21,0
22,14,26,5,4,1,2,5,6,22,14,26,11,2,1,3,9,6,-0.16,0
22,14,32,5,2,1,4,7,6,22,14,28,6,4,2,4,16,6,0.36,1
18,14,23,5,2,2,5,7,7,19,15,25,9,2,2,5,2,7,0.42,1
15,15,26,5,2,1,4,5,4,15,15,28,8,2,3,2,7,6,0.08,1
22,15,23,5,4,2,7,7,6,22,15,23,5,4,3,7,7,7,-0.05,0
18,15,22,5,2,5,5,7,6,19,16,33,6,2,3,4,6,4,0.01,0
22,15,24,5,4,1,7,5,8,22,15,22,1,2,1,6,1,5,-0.04,0
18,16,23,5,2,2,5,7,7,19,17,26,3,2,2,7,3,4,-0.28,0
21,17,23,5,1,1,4,7,5,21,17,26,3,1,1,6,10,1,-0.44,1
22,17,32,5,2,1,4,7,6,22,17,22,5,4,2,7,10,8,-0.58,0
18,17,29,5,2,1,5,2,6,18,17,32,10,2,1,4,2,6,-0.15,0
20,17,23,5,4,3,6,7,7,18,15,26,13,3,3,4,9,5,-0.11,0
18,17,23,5,2,2,5,7,7,19,18,26,6,2,5,4,6,3,0.18,1
21,18,23,5,1,1,4,7,5,21,18,26,6,2,1,6,2,3,-0.06,1
18,18,24,5,2,1,6,5,5,18,18,22,3,2,2,7,2,6,0.44,1
18,18,22,5,2,5,5,7,6,19,19,26,3,2,2,7,3,4,-0.28,0
21,19,23,5,1,1,4,7,5,21,19,23,11,2,2,4,11,8,-0.1,1
22,19,32,5,2,1,4,7,6,22,19,22,1,2,1,6,1,5,-0.2,0
22,19,26,5,4,1,2,5,6,22,19,24,11,6,1,4,11,1,-0.16,0
22,19,23,5,4,2,5,7,8,22,19,22,5,4,2,7,10,8,0.01,0
21,20,27,5,4,1,4,7,5,21,20,28,13,3,1,6,2,10,-0.02,0
22,20,23,5,4,1,7,4,5,22,20,22,5,4,2,7,10,8,0.18,1
20,20,23,5,4,3,6,7,7,18,18,29,9,6,2,4,6,9,0.06,1
21,21,23,5,1,1,4,7,5,21,21,28,13,3,1,6,2,10,-0.15,0
21,21,27,5,4,1,4,7,5,21,21,32,1,2,4,5,2,3,-0.14,0
22,21,24,5,2,1,7,4,6,22,21,24,15,2,2,4,3,6,-0.09,0
22,21,26,5,4,1,2,5,6,22,21,23,5,4,2,7,7,6,-0.45,0
22,21,24,5,2,1,7,2,7,22,21,28,11,6,1,7,9,5,-0.27,0
10,1,30,6,3,1,6,2,2,10,1,24,8,2,1,6,7,4,-0.02,0
19,1,28,6,2,1,4,6,4,18,1,27,8,2,1,5,7,5,0.08,1
16,1,36,6,2,4,7,2,5,16,1,27,7,2,1,6,2,5,0.32,1
6,1,55,6,4,6,7,6,10,6,1,33,8,4,1,3,7,5,-0.35,0
16,2,36,6,2,4,7,2,5,16,2,29,8,1,2,5,8,6,-0.04,0
19,2,22,6,2,1,7,6,6,18,2,27,8,2,1,5,7,4,0,0
6,3,55,6,4,6,7,6,10,6,3,33,5,4,4,6,2,8,-0.17,0
19,4,33,6,2,3,4,6,4,18,4,29,2,4,3,4,7,6,-0.02,0
19,4,24,6,2,2,4,6,6,18,3,23,5,2,2,5,7,7,0.1,1
18,4,34,6,2,2,7,2,6,18,4,32,10,2,1,4,2,6,0.02,0
10,5,20,6,3,5,4,6,3,10,5,22,1,6,1,3,1,6,0.4,1
16,5,36,6,2,4,7,2,5,16,5,22,2,2,1,4,2,3,-0.21,0
19,5,22,6,2,1,7,6,6,18,4,27,8,4,1,6,7,6,0.29,1
10,6,20,6,3,5,4,6,3,10,6,22,5,2,6,5,6,1,-0.36,0
18,6,28,6,2,5,5,6,5,18,6,27,10,2,2,5,2,8,0.53,1
19,6,22,6,2,1,7,6,6,18,5,23,5,2,2,5,7,7,-0.02,0
19,6,24,6,2,2,4,6,6,18,5,22,5,2,5,5,7,6,0,0
18,7,26,6,2,2,6,9,2,20,8,29,8,2,6,5,7,6,-0.18,0
10,7,20,6,3,5,4,6,3,10,7,21,4,2,1,3,4,6,0.53,1
18,7,34,6,2,2,7,2,6,18,7,28,14,2,2,6,6,6,0.53,1
10,8,20,6,3,5,4,6,3,10,8,21,5,2,1,3,5,5,0,1
19,8,22,6,2,1,7,6,6,18,7,22,5,2,5,5,7,6,-0.14,1
22,8,28,6,4,2,4,16,6,22,8,25,5,4,2,7,2,7,-0.12,0
18,8,34,6,2,2,7,2,6,18,8,25,14,4,1,4,6,5,0.63,1
18,9,26,6,2,2,6,9,2,20,10,29,8,3,2,5,7,9,-0.18,0
21,9,26,6,2,1,6,2,3,21,9,24,3,3,3,4,2,6,0.14,1
18,9,28,6,2,5,5,6,5,18,9,25,1,1,2,7,1,5,-0.02,0
18,9,34,6,2,2,7,2,6,18,9,28,8,4,2,6,7,5,0.21,1
22,9,28,6,4,2,4,16,6,22,9,22,5,4,1,5,1,7,0.67,1
21,10,26,6,2,1,6,2,3,21,10,25,10,2,3,4,2,7,0.73,1
21,12,26,6,2,1,6,2,3,21,12,24,5,6,4,6,7,10,-0.19,0
18,12,34,6,2,2,7,2,6,18,12,21,7,2,1,4,2,6,0.36,1
18,13,34,6,2,2,7,2,6,18,13,25,1,1,2,7,1,5,0.02,1
22,13,28,6,4,2,4,16,6,22,13,30,8,2,1,6,7,7,0.23,1
16,14,36,6,2,4,7,2,5,16,14,22,10,2,2,4,10,7,-0.15,0
19,15,28,6,2,1,4,6,4,18,14,22,5,2,5,5,7,6,-0.02,0
19,15,22,6,2,1,7,6,6,18,14,29,2,4,3,4,7,6,-0.18,0
18,16,26,6,2,2,6,9,2,20,17,25,3,2,2,5,3,7,0.52,1
16,16,36,6,2,4,7,2,5,16,16,28,10,2,2,6,2,6,0.01,0
18,16,28,6,2,5,5,6,5,18,16,28,1,2,3,3,1,8,0.61,1
22,17,28,6,4,2,4,16,6,22,17,23,5,4,1,7,4,5,-0.04,0
19,19,24,6,2,2,4,6,6,18,18,27,8,2,1,5,7,4,-0.34,0
19,19,22,6,2,1,7,6,6,18,18,24,1,2,2,5,1,6,0.08,1
22,22,28,6,4,2,4,16,6,22,22,30,8,2,2,4,7,8,0.52,1
16,1,28,7,4,2,6,2,6,16,1,26,9,2,4,3,2,2,0.49,1
21,1,24,7,2,2,6,2,6,21,1,27,5,4,1,4,7,5,0.17,1
9,4,32,7,2,4,5,1,2,9,4,34,10,2,2,6,7,7,0.54,1
20,4,25,7,4,1,1,2,6,20,4,26,8,2,1,3,7,7,0.2,1
16,4,28,7,4,2,6,2,6,16,4,28,10,2,1,6,2,6,0.44,1
9,5,34,7,2,3,7,6,4,9,5,25,6,6,4,2,2,7,0.6,1
20,5,25,7,4,1,1,2,6,20,5,23,8,2,2,3,6,3,-0.2,0
16,6,27,7,2,1,6,2,5,16,6,24,13,2,1,5,2,7,-0.59,0
18,6,21,7,2,1,4,2,6,18,6,29,9,2,5,6,7,5,0.8,1
20,8,28,7,2,2,4,2,7,20,8,25,7,4,1,1,2,6,-0.15,0
9,9,34,7,2,3,7,6,4,9,9,33,8,6,2,3,7,5,-0.09,0
16,9,27,7,2,1,6,2,5,16,9,27,13,4,1,4,2,5,0.25,1
21,9,22,7,2,2,6,2,6,21,9,24,5,6,4,6,7,10,-0.25,0
20,10,30,7,2,4,5,2,4,20,10,26,10,2,5,4,2,3,0.18,1
16,11,28,7,4,2,6,2,6,16,11,29,8,2,1,4,7,8,0.78,1
21,11,24,7,2,2,6,2,6,21,11,27,10,4,1,3,4,6,0.35,1
20,12,25,7,4,1,1,2,6,20,12,25,13,6,1,5,6,10,-0.34,0
16,13,31,7,2,4,5,2,5,16,13,30,13,2,3,6,6,6,0.1,1
18,14,21,7,2,1,4,2,6,18,14,22,3,2,2,7,2,6,0.52,1
21,14,24,7,2,2,6,2,6,21,14,24,3,3,3,4,2,6,0.53,1
20,14,28,7,2,2,4,2,7,20,14,22,2,2,6,6,2,3,-0.05,0
21,15,24,7,2,2,6,2,6,21,15,25,10,2,3,4,2,7,0.22,1
18,16,21,7,2,1,4,2,6,18,16,23,11,2,1,3,9,4,0.72,1
20,17,30,7,2,4,5,2,4,20,17,26,8,4,1,4,7,7,0.49,1
20,18,30,7,2,4,5,2,4,20,18,26,8,2,1,3,7,7,0.6,1
20,19,30,7,2,4,5,2,4,20,19,23,8,2,2,3,6,3,0.45,1
6,1,29,8,4,2,6,7,2,6,1,23,10,4,2,7,10,5,-0.02,0
11,1,26,8,2,2,4,7,3,14,1,28,11,2,4,6,11,4,-0.23,0
19,1,24,8,2,6,6,2,3,16,1,27,3,2,2,6,7,7,-0.02,0
18,1,26,8,2,5,4,7,3,19,1,33,6,2,3,4,6,4,0.6,1
20,1,27,8,2,2,5,10,5,18,1,33,3,2,1,4,7,6,0.18,1
18,1,29,8,2,6,1,7,5,19,1,25,9,2,2,5,2,7,-0.49,1
20,1,27,8,3,1,5,7,5,20,1,26,10,2,5,4,2,3,0.11,1
10,1,29,8,4,4,5,7,5,10,1,26,8,2,2,4,7,6,0.71,1
18,1,26,8,4,1,5,7,5,20,1,25,8,4,2,5,10,5,0.24,1
10,1,24,8,4,6,4,7,6,10,1,21,5,2,2,3,2,6,-0.07,0
20,1,29,8,2,6,5,7,6,18,1,32,10,2,3,2,4,5,-0.1,0
18,1,35,8,3,2,6,7,6,18,1,21,7,2,1,4,2,6,0.72,1
20,1,26,8,4,1,5,7,6,18,1,26,13,3,3,4,9,5,0.3,1
16,1,21,8,4,1,6,7,6,19,1,25,8,4,1,3,7,6,-0.01,1
16,1,29,8,1,2,5,8,6,16,1,26,8,4,5,5,7,5,0.25,1
20,1,30,8,4,2,4,7,7,18,1,26,6,2,2,6,9,2,-0.07,0
19,1,26,8,2,2,6,7,7,16,1,27,3,4,1,4,2,3,-0.33,0
18,1,29,8,2,2,3,7,8,19,1,25,3,2,2,7,3,6,0.01,1
10,1,34,8,2,2,4,7,9,10,1,24,11,2,1,7,6,5,0.28,1
20,2,25,8,2,1,4,7,2,20,2,30,13,3,1,6,9,5,-0.34,0
6,2,29,8,4,2,6,7,2,6,2,33,8,4,1,3,7,5,-0.43,0
10,2,22,8,2,6,4,7,2,10,2,24,1,4,3,6,10,6,-0.23,0
9,2,26,8,4,1,6,6,2,9,2,33,8,6,2,3,7,5,-0.18,0
9,2,29,8,4,2,4,7,2,9,2,25,6,6,4,2,2,7,0.76,1
11,2,26,8,2,2,4,7,3,14,2,23,11,2,1,4,11,5,-0.08,0
20,2,28,8,3,1,7,7,4,20,2,31,8,1,1,5,9,6,0.37,1
18,2,27,8,2,1,7,2,5,18,2,32,10,2,1,4,2,6,-0.35,0
10,2,29,8,4,1,5,4,5,9,2,29,13,2,2,6,7,5,-0.1,0
18,2,29,8,2,6,1,7,5,19,2,25,3,2,2,7,3,6,-0.28,1
20,2,27,8,2,1,3,1,5,18,2,24,3,6,2,6,3,7,-0.27,1
16,2,26,8,6,5,5,7,6,16,2,26,8,4,5,5,7,5,0.19,1
20,2,27,8,3,3,4,7,6,18,2,29,9,6,2,4,6,9,0.05,1
20,2,30,8,4,2,4,7,7,18,1,21,9,4,2,6,2,5,-0.06,0
10,2,21,8,2,1,4,10,7,10,2,22,5,2,6,5,6,1,-0.28,0
18,2,22,8,4,3,4,7,7,18,2,22,3,2,2,7,2,6,-0.13,0
16,2,27,8,2,6,4,7,7,16,2,27,10,4,2,6,4,4,-0.01,0
19,2,26,8,2,2,6,7,7,16,2,30,3,2,6,6,6,4,-0.49,0
6,2,26,8,2,2,4,7,8,8,2,25,3,3,6,4,3,3,0.47,1
6,3,29,8,4,2,6,7,2,6,3,23,7,2,6,7,6,4,-0.02,0
10,3,28,8,2,6,6,7,3,10,3,28,7,2,1,5,2,5,-0.18,0
19,3,24,8,2,6,6,2,3,16,3,23,11,2,1,5,9,7,-0.02,0
11,3,30,8,4,2,3,7,3,14,5,30,15,6,2,6,6,5,-0.07,0
